question_id;threat_type;question;correct_answer;made_up_answer_1;made_up_answer_2;made_up_answer_3
26;Data Breaches;How do scammers know so much about me?;They could have collected information from public records and data breaches. ;They guess. ;Your government leaked your data to them. ;They hacked social media. 
27;Social Engineering;Can smart people still fall for phishing?;Yes, because scams exploit human behavior and smart people can also be incautious.  ;No. ;Only under some circumstances. ;Only older users fall for phishing. 
28;Security Awareness;How do I stop feeling paranoid about every email?;You can learn about methods of how to verify that an email is not a scam or a phishing attempt. ;Ignore all emails. ;Trust the branding. ;Disable email. 
29;Phishing;I got a security alert on my work email, but I’m on vacation. Should I respond?;Verify the alert via another communication channel. ;You should always respond. ;You should always ignore emails. ;You should reply immediately. 
30;Phishing;My personal Gmail got a message about my work account — is that legit?;No, that is suspicious. ;Yes. ;Only if you received the message on a weekday. ;Only HR does that
31;Security Operations;Is it safe to forward a suspicious email to IT?;Yes, usually companies have specific email addresses of where to forward spam to. ;No. ;If you reply first it is safe. ;It is only safe if you take screenshots and send those to IT. 
32;Malware / Lateral Risk;What if my work device is infected — can it affect my personal accounts?;Yes, if you access your personal accounts via your work device. ;No. ;Only via Wi-Fi.;Only bank accounts.
33;Password Management;Should I use my work password manager for personal stuff?;In the unlikely case of being terminated without notice, you might not have access to your personal passwords anymore. Thus I recommend keeping them separate. ;Yes, that is always a good idea. ;This is only a good idea for especially vulnerable accounts. ;You should only do this with banking information. 
34;Email Spoofing;The email passed SPF and DKIM checks. Does that mean it’s safe?;While these checks verify that the email came from the domain it claims to come from, this doesn’t necessarily mean that the email content is safe. ;Yes. ;Only for Gmail accounts. ;Only internal emails. 
35;Phishing;Can phishing still work if I use a password manager?;Yes. ;No.;Only without MFA.;Only on mobile.
36;Spam / Phishing Evasion;How do attackers bypass spam filters without malware?;They use social engineering. ;They can’t. ;Only via attachments. ;Only through insiders. 
37;Phishing;Is copying a link safer than clicking it?;No, that doesn’t make a difference if you open it after copying the link. ;Yes.;Only on desktop.;Only with HTTPS.
38;Drive-by Exploits;Can a website steal data without me typing anything?;Yes. ;No.;Only on mobile.;Only if you download something. 
39;QR-Code Phishing;I’m seeing a lot of QR codes in emails lately — is that a new scam?;They can be a security risk called quishing. If they are a security risk, they can lead to fake login pages or to malware. ;No. ;Only posters use QR scams. ;Only crypto scams use QR codes. 
40;AI-Enhanced Phishing;Are AI-written phishing emails harder to detect?;Not necessarily. They can reduce obvious errors, but this can also be achieved if the phishing is targeted. ;No. ;Only for experts. ;Only in English. 
41;Social Engineering;Why are scammers pretending to be HR now?;One reason might be that HR has authority and access to information. ;HR is unimportant. ;It’s random. ;Only in big companies. 
42;Smishing;Is this “missed package” text message a common scam?;Yes, it is common. ;No. ;Only during holidays. ;Only when it’s a text message from FedEx. 
43;Seasonal Scams;Why do scams suddenly spike around tax season?;One reason might be that attackers exploit stress that arises during this time. ;Coincidence. ;Only accountants are targeted. ;Because during this time government leaks are more common. 
44;Account Takeover;I got a password reset email I didn’t request. I ignored it. A day later, my account was locked. What might have happened?;Someone might have tried to takeover your account. ;System bug;Email glitch;Reset delay
45;Credential Stuffing;I reused my email password on a shopping site that got breached. Now I’m getting strange login alerts. How are these connected?;There is a high probability that these two incidents are connected. ;They are unrelated. ;This is a coincidence. ;It’s an error from your email provider. 
46;Shared-Access Phishing;My friend clicked a phishing link on our shared Google Doc. Am I at risk?;This could have compromised your friends account but not necessarily yours. ;No. ;Yes, always. ;Only if you download the document. 
47;Account Takeover;An attacker gets my email access but not my bank login. What damage can they still do?;They can impersonate you, use your email for spam and reset passwords on accounts linked to the email. ;None. ;They can spam you. ;They can read your emails. 
48;Authentication Security;I enabled MFA after a phishing attempt. Am I fully protected now?;No, MFA only reduces risk. 100% security is not possible.;Yes. ;Only your email is protected. ;Only your work account is protected. 
49;Passwords;Is this PIN safe: 123456;No, this password is easily guessed. ;Yes. ;Yes because the PIN should be easily sharable. ;Yes because it is easy to remember. 
50;Passwords;Is this Password safe: p4sswort8989;No, this password can be easily bruteforced. ;Yes. ;Yes because it includes letters and numbers. ;Yes because it is not a real word. 
51;Phishing;Can I click on this link: www.go0gle.com;No, you should not because this is not the real google URL. ;Yes. ;Yes, nothing can happen. ;Yes, URLs are always safe. 
52;Phishing;Is this link safe: www.g0ogle.com;No, this is not the real google URL. ;Yes. ;Yes, nothing can happen. ;Yes, URLs are always safe. 
53;Phishing;I received an email from my boss with the subject line ‘Are you in the office?’ The email was empty. Can I trust this? ;Not necessarily. I would need more information. ;Yes. ;Yes, what your boss says or writes you is always safe. ;Yes, this email can only originate from your boss. 
